"","ReferenceID","Block","Lot","BuildingAddress","NoticeDate","Neighborhood","PoliceDistrict","CouncilDistrict","Location","Latitude","Longitude"
"1","0002 019 031016","2","19","1909 W NORTH AVE",2016-03-10,"EASTERWOOD","WESTERN","7","(39.30952601, -76.64848892)","39.30952601"," -76.64848892"
"2","0007 057 031116","7","57","1734 APPLETON ST",2016-03-11,"EASTERWOOD","WESTERN","7","(39.30856758, -76.64921157)","39.30856758"," -76.64921157"
"3","0050 066 030716","50","66","1125 N MONROE ST",2016-03-07,"SANDTOWN-WINCHESTER","WESTERN","9","(39.3017259, -76.64743561)","39.3017259"," -76.64743561"
"4","0125 012 030816","125","12","522 N CAREY ST",2016-03-08,"HARLEM PARK","WESTERN","9","(39.29482152, -76.63877572)","39.29482152"," -76.63877572"
"5","0151 009 030716","151","9","317 N GILMOR ST",2016-03-07,"FRANKLIN SQUARE","WESTERN","9","(39.29261888, -76.64231678)","39.29261888"," -76.64231678"
"6","0232 032 031116","232","32","1324 W LOMBARD ST",2016-03-11,"UNION SQUARE","SOUTHERN","9","(39.28680988, -76.63888529)","39.28680988"," -76.63888529"
"7","0235 029 031116","235","29","45 S ARLINGTON AVE",2016-03-11,"HOLLINS MARKET","SOUTHERN","9","(39.28713548, -76.63498941)","39.28713548"," -76.63498941"
"8","0275 060 030716","275","60","319 S MONROE ST",2016-03-07,"CARROLLTON RIDGE","SOUTHERN","9","(39.28383911, -76.64647246)","39.28383911"," -76.64647246"
"9","0329 045 030716","329","45","1803 DRUID HILL AVE",2016-03-07,"DRUID HEIGHTS","CENTRAL","11","(39.3061856, -76.63334767)","39.3061856"," -76.63334767"
"10","0599 008 031116","599","8","235 PARK AVE",2016-03-11,"DOWNTOWN","CENTRAL","11","(39.29280154, -76.6178644)","39.29280154"," -76.6178644"
"11","0767 117 030816","767","117","1329 SARGEANT ST",2016-03-08,"WASHINGTON VILLAGE/PIGTOWN","SOUTHERN","10","(39.28035426, -76.63645611)","39.28035426"," -76.63645611"
"12","0779 002 030716","779","2","1203 WASHINGTON BLVD",2016-03-07,"WASHINGTON VILLAGE/PIGTOWN","SOUTHERN","10","(39.28150228, -76.63396506)","39.28150228"," -76.63396506"
"13","0779 026 030816","779","26","1253 WASHINGTON BLVD",2016-03-08,"WASHINGTON VILLAGE/PIGTOWN","SOUTHERN","10","(39.280852, -76.6348142)","39.280852"," -76.6348142"
"14","0801 019 030816","801","19","1136 W HAMBURG ST",2016-03-08,"WASHINGTON VILLAGE/PIGTOWN","SOUTHERN","10","(39.28010139, -76.63055854)","39.28010139"," -76.63055854"
"15","0801 066 031016","801","66","1121 NANTICOKE ST",2016-03-10,"WASHINGTON VILLAGE/PIGTOWN","SOUTHERN","10","(39.28058109, -76.63071342)","39.28058109"," -76.63071342"
