"","ReferenceID","Block","Lot","BuildingAddress","NoticeDate","Neighborhood","PoliceDistrict","CouncilDistrict","Location","Latitude","Longitude"
"36","2402 057 031016","2402","057","1700 ASHBURTON ST",2016-03-10,"COPPIN HEIGHTS/ASH-CO-EAST","WESTERN","7","(39.30744314, -76.66243699)","39.30744314"," -76.66243699"
"37","2406 021 031116","2406","021","2841 W NORTH AVE",2016-03-11,"NORTHWEST COMMUNITY ACTION","SOUTHWESTERN","7","(39.30884735, -76.66500262)","39.30884735"," -76.66500262"
"38","2418 063 031116","2418","063","1621 POPLAR GROVE ST",2016-03-11,"NORTHWEST COMMUNITY ACTION","SOUTHWESTERN","7","(39.30658799, -76.6653513)","39.30658799"," -76.6653513"
"39","2441 010 030816","2441","010","1618 N ELLAMONT ST",2016-03-08,"ROSEMONT","SOUTHWESTERN","9","(39.30623418, -76.67108776)","39.30623418"," -76.67108776"
"40","2445 034 030716","2445","034","2928 RIGGS AVE",2016-03-07,"FRANKLINTOWN ROAD","SOUTHWESTERN","9","(39.30025395, -76.66692907)","39.30025395"," -76.66692907"
"41","2506A013 031116","2506A","013","715 MOUNT HOLLY ST",2016-03-11,"EDGEWOOD","SOUTHWESTERN","8","(39.29580061, -76.67963706)","39.29580061"," -76.67963706"
"42","2542 017 031016","2542","017","212 S COLLINS AVE",2016-03-10,"IRVINGTON","SOUTHWESTERN","8","(39.28283004, -76.68371017)","39.28283004"," -76.68371017"
"43","2755 010 031016","2755","010","3809 BONNER ROAD",2016-03-10,"CONCERNED CITIZENS OF FOREST PARK","NORTHWESTERN","6","(39.32267983, -76.68239714)","39.32267983"," -76.68239714"
"44","2901 001 030716","2901","001","3701 W FOREST PARK AVE",2016-03-07,"FOREST PARK","NORTHWESTERN","6","(39.32520817, -76.67967628)","39.32520817"," -76.67967628"
"45","3061A026 031116","3061A","026","3313 ALTO ROAD",2016-03-11,"HANLON-LONGWOOD","NORTHWESTERN","7","(39.31714857, -76.67350752)","39.31714857"," -76.67350752"
"46","3176 028 031016","3176","028","2814 VIOLET AVE",2016-03-10,"PARK CIRCLE","NORTHWESTERN","6","(39.32986233, -76.66222642)","39.32986233"," -76.66222642"
"47","3347F046 030716","3347F","046","4200 PALL MALL ROAD",2016-03-07,"GREENSPRING","NORTHERN","6","(39.33901314, -76.66179683)","39.33901314"," -76.66179683"
"48","3420 006 031116","3420","006","2535 MADISON AVE",2016-03-11,"RESERVOIR HILL","CENTRAL","7","(39.31461196, -76.63929013)","39.31461196"," -76.63929013"
"49","3537 070A 030916","3537","070A","3640 PAINE ST",2016-03-09,"HAMPDEN","NORTHERN","14","(39.3323183, -76.63056992)","39.3323183"," -76.63056992"
"50","3542B036 030816","3542B","036","1244 W 37TH ST",2016-03-08,"HAMPDEN","NORTHERN","7","(39.33240931, -76.63707373)","39.33240931"," -76.63707373"
"51","3572 001A 030716","3572","001A","0  ",2016-03-07,"WOODBERRY","NORTHERN","7","(39.3339831, -76.64485367)","39.3339831"," -76.64485367"
"52","3644 001 030916","3644","001","2701 HAMPDEN AVE",2016-03-09,"REMINGTON","NORTHERN","12","(39.31940238, -76.62309868)","39.31940238"," -76.62309868"
"53","3813 046 031016","3813","046","336 E 21ST ST",2016-03-10,"BARCLAY","EASTERN","12","(39.3136377, -76.61153797)","39.3136377"," -76.61153797"
"54","4507 032 031116","4507","032","4127 W ROGERS AVE",2016-03-11,"WOODMERE","NORTHWESTERN","5","(39.34662388, -76.69087433)","39.34662388"," -76.69087433"
"55","4536A128 031116","4536A","128","5302 MAPLE AVE",2016-03-11,"PIMLICO GOOD NEIGHBORS","NORTHWESTERN","5","(39.35123971, -76.67777092)","39.35123971"," -76.67777092"
"56","5090A008 030716","5090A","008","6014 YORK ROAD",2016-03-07,"LAKE EVESHAM","NORTHERN","4","(39.3667341, -76.61026276)","39.3667341"," -76.61026276"
"57","5138 005 030816","5138","005","603 ORKNEY ROAD",2016-03-08,"BELVEDERE","NORTHERN","4","(39.36261319, -76.60643922)","39.36261319"," -76.60643922"
"58","5150 004 030816","5150","004","600 TUNBRIDGE ROAD",2016-03-08,"MID-GOVANS","NORTHERN","4","(39.35658363, -76.60787716)","39.35658363"," -76.60787716"
"59","5198 034 031016","5198","034","4606 CRADDOCK AVE",2016-03-10,"KENILWORTH PARK","NORTHERN","4","(39.34667216, -76.60171859)","39.34667216"," -76.60171859"
"60","3952 064 030916","3952","064","1934 E 28TH ST",2016-03-09,"Coldstream Homestead Montebello","Notheastern","14","(39.3240416, -76.5886153)","39.3240416"," -76.5886153"
"61","3962 029 030916","3962","029","1647 CHILTON ST",2016-03-09,"Coldstream Homestead Montebello","Notheastern","14","(39.32731222, -76.59220834)","39.32731222"," -76.59220834"
"62","3969M123 031016","3969M","123","1640 NORTHGATE ROAD",2016-03-10,"Hillen","Notheastern","3","(39.34520722, -76.58768063)","39.34520722"," -76.58768063"
"63","4131 021 030916","4131","021","1567 CARSWELL ST",2016-03-09,"Coldstream Homestead Montebello","Notheastern","14","(39.32227105, -76.59528329)","39.32227105"," -76.59528329"
"64","4139 026 030916","4139","026","2738 HARFORD ROAD",2016-03-09,"Coldstream Homestead Montebello","Notheastern","14","(39.32126573, -76.59106094)","39.32126573"," -76.59106094"
"65","4179G074 031116","4179G","074","3625 CHESTERFIELD AVE",2016-03-11,"Belair-Edison","Notheastern","13","(39.31875134, -76.56380036)","39.31875134"," -76.56380036"
"66","7056A018 030816","7056A","018","3438 6TH ST",2016-03-08,"BROOKLYN","SOUTHERN","10","(39.23953056, -76.6010089)","39.23953056"," -76.6010089"
"67","8469 009 031016","8469","009","2600 QUEEN ANNE ROAD",2016-03-10,"WINDSOR HILLS","NORTHWESTERN","8","(39.3152955, -76.68822771)","39.3152955"," -76.68822771"
"68","5643 010 031116","5643","010","6102 ALTA AVE",2016-03-11,"Westfield","Notheastern","2","(39.3541709, -76.54502735)","39.3541709"," -76.54502735"
"69","5898H014B 031116","5898H","014B","3906 PARKSIDE DR",2016-03-11,"Arcadia","Notheastern","3","(39.33024502, -76.56742165)","39.33024502"," -76.56742165"
"70","0007 053 122915","0007","053","1726 APPLETON ST",2015-12-29,"EASTERWOOD","WESTERN","7","(39.30841552, -76.64920351)","39.30841552"," -76.64920351"
"71","0006 032 011509","0006","032","2002 PRESBURY ST",2009-01-15,"EASTERWOOD","WESTERN","7","(39.30800597, -76.65030361)","39.30800597"," -76.65030361"
"72","0031 057 032316","0031","057","1834 LAURENS ST",2016-03-23,"SANDTOWN-WINCHESTER","WESTERN","7","(39.30327593, -76.64742143)","39.30327593"," -76.64742143"
